Nov 22, 2021 01:09:33.089878000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:34.081873000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:35.081753000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:36.078651000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:37.097025000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:38.080153000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:39.081318000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:40.079943000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:41.077956000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:42.083178000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:43.082998000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:44.090668000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:45.080553000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:46.076684000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:47.076863000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:48.076612000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:49.078094000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:50.079137000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:51.079399000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:52.075542000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:53.080496000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:54.079181000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:55.076325000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:56.076024000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:57.077195000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:58.078490000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:09:59.076075000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
Nov 22, 2021 01:10:00.076694000 SE Asia Standard Time;192.168.111.255;192.168.111.1;54915;54915;UDP;305;54915 > 54915 LEN=271
